state,x,y
Alabama,115,-87
Alaska,-214,-170
Arizona,-210,-40
Arkansas,39,-53
California,-323,13
Colorado,-130,20
Connecticut,297,85
Delaware,275,42
Florida,210,-145
Georgia,167,-75
Hawaii,-317,-143
Idaho,-216,113
Illinois,85,30
Indiana,117,39
Iowa,38,60
Kansas,-30,5
Kentucky,144,-4
Louisiana,54,-119
Maine,307,164
Maryland,288,27
Massachusetts,312,112
Michigan,128,101
Minnesota,10,135
Mississippi,89,-68
Missouri,35,6
Montana,-161,150
Nebraska,-61,56
Nevada,-267,56
New Hampshire,220,165
New Jersey,282,62
New Mexico,-155,-43
New York,236,104
North Carolina,210,-27
North Dakota,-75,158
Ohio,170,52
Oklahoma,-29,-41
Oregon,-296,138
Pennsylvania,210,68
Rhode Island,318,94
South Carolina,210,-59
South Dakota,-75,109
Tennessee,121,-34
Texas,-38,-106
Utah,-189,34
Vermont,245,152
Virginia,229,7
Washington,-280,193
West Virginia,190,20
Wisconsin,65,113
Wyoming,-154,90
